"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"9/25/2019","EQT*KFHP of Wa.","EQT*KFHP of Wa.","0.00","credit","Health Insurance","Visa Signature GO REWARDS","",""
"9/25/2019","EQT*KFHP of Wa.","EQT*KFHP of Wa.","308.78","debit","Health Insurance","Visa Signature GO REWARDS","",""
"9/25/2019","Transfer To Other","Transfer To Other","1114.12","debit","Transfer","EveryDay Checking","",""
"9/23/2019","King County Metro","KING COUNTY METRO 888-9886722 WA","40.00","debit","Business Services","Visa Signature GO REWARDS","",""
"9/23/2019","Chevron","CHEVRON 0308077 RENTON WA","35.95","debit","Gas & Fuel","Visa Signature GO REWARDS","",""
"9/23/2019","Shell","SHELL OIL 57441815701 EATONVILLE WA","5.23","debit","Gas & Fuel","Visa Signature GO REWARDS","",""
"9/19/2019","United Parking 4404","UNITED PARKING 4561 SEATTLE WA","12.26","debit","Parking","Visa Signature GO REWARDS","",""
"9/19/2019","Deposit - CONSILIO LLC","Deposit - CONSILIO LLC","1038.24","credit","Income","EveryDay Checking","",""
"9/18/2019","Starbucks","STARBUCKS STORE 00101 SEATTLE WA","9.36","debit","Coffee Shops","Visa Signature GO REWARDS","",""
"9/18/2019","Amazon","AMZN MKTP US*7T54A8OI3 AM AMZN.COM/BILL WA","15.39","debit","Shopping","Visa Signature GO REWARDS","",""
"9/17/2019","Sears","SEARS ROEBUCK 1139 TUKWILA WA","65.98","debit","Shopping","Visa Signature GO REWARDS","",""
"9/16/2019","Starbucks","STARBUCKS STORE 10302 SEATTLE WA","6.00","debit","Coffee Shops","Visa Signature GO REWARDS","",""
"9/16/2019","Starbucks","STARBUCKS STORE 10302 SEATTLE WA","3.25","debit","Coffee Shops","Visa Signature GO REWARDS","",""
"9/16/2019","Starbucks","STARBUCKS STORE 10302 SEATTLE WA","4.57","debit","Coffee Shops","Visa Signature GO REWARDS","",""
"9/13/2019","Starbucks","STARBUCKS STORE 10302 SEATTLE WA","9.14","debit","Coffee Shops","Visa Signature GO REWARDS","",""
"9/12/2019","King County Metro","KING COUNTY METRO 888-9886722 WA","40.00","debit","Business Services","Visa Signature GO REWARDS","",""
"9/12/2019","Deposit - CONSILIO LLC","Deposit - CONSILIO LLC","925.81","credit","Income","EveryDay Checking","",""
"9/10/2019","Great Clips","2464 GREAT CLIPS RENTON RENTON WA","19.00","debit","Hair","Visa Signature GO REWARDS","",""
"9/10/2019","Safeway","SAFEWAY #1563 RENTON WA","87.21","debit","Groceries","Visa Signature GO REWARDS","",""
"9/09/2019","QuickBooks","Intuit *QuickBooks SE 833-830-9255 CA","18.70","debit","Electronics & Software","Visa Signature GO REWARDS","",""
"9/09/2019","Starbucks","STARBUCKS STORE 10302 SEATTLE WA","10.46","debit","Coffee Shops","Visa Signature GO REWARDS","",""
